batter,runs,balls,strike_rate
A Ahmadhel,8,27,29.629629629629626
A Alexander,50,33,151.5151515151515
A Amado,19,28,67.85714285714286
A Andrews,4,6,66.66666666666666
A Ashokan,572,525,108.95238095238096
A Athanaze,326,263,123.95437262357414
A Augastin,170,166,102.40963855421687
A Bagai,165,157,105.09554140127389
A Balbirnie,2028,1682,120.57074910820451
A Beresford-Peirse,31,36,86.11111111111111
A Bhadauria,40,32,125.0
A Bhagwat,2,9,22.22222222222222
A Bhargava,7,7,100.0
A Bhattarai,2,3,66.66666666666666
A Bishnoi,11,23,47.82608695652174
A Bohara,23,34,67.64705882352942
A Bulow,11,13,84.61538461538461
A Bushell,13,22,59.09090909090909
A Busing-Volschenk,26,17,152.94117647058823
A Chaubey,14,21,66.66666666666666
A Chaudhary,42,45,93.33333333333333
A Chenthamara,3,11,27.27272727272727
A Conteh,35,58,60.3448275862069
A Dananjaya,61,76,80.26315789473685
A Davidson Soler,90,89,101.12359550561798
A Daxini,11,24,45.83333333333333
A Dhabe,32,44,72.72727272727273
A Dhingra,8,8,100.0
A Dizija,601,559,107.5134168157424
A Djorovic,27,48,56.25
A Donovan,278,148,187.83783783783784
A Dowling,2,4,50.0
A Dutt,114,117,97.43589743589743
A Faletar,0,2,0.0
A Ferguson,402,449,89.53229398663697
A Flintoff,76,62,122.58064516129032
A Gasteratos,17,40,42.5
A Gavde,1,6,16.666666666666664
A Gbla,204,224,91.07142857142857
A Gorawara,38,37,102.7027027027027
A Govorko,1,1,100.0
A Gulati,6,4,150.0
A Gupta,4,6,66.66666666666666
A Halbhavi,191,204,93.62745098039215
A Harris,25,36,69.44444444444444
A Husain,11,16,68.75
A Ilaoa,35,35,100.0
A Johnmary,19,25,76.0
A Johnson,910,645,141.08527131782947
A Kadowaki Fleming,127,80,158.75
A Kainessie,153,171,89.47368421052632
A Kalasi,14,15,93.33333333333333
A Kansonkho,2,5,40.0
A Kapoor,9,4,225.0
A Karn,4,7,57.14285714285714
A Kaul,51,64,79.6875
A Khan,49,57,85.96491228070175
A Kheterpal,288,261,110.34482758620689
A Kirschbaum,210,244,86.0655737704918
A Krishna,34,33,103.03030303030303
A Kuthalingham,37,40,92.5
A Langham,43,43,100.0
A Lazic,2,3,66.66666666666666
A Limdawala,460,513,89.66861598440545
A Magdalenic,30,70,42.857142857142854
A Maheshwari,40,69,57.971014492753625
A Manepalli,186,189,98.4126984126984
A Manousis,39,35,111.42857142857143
A Mansale,572,500,114.39999999999999
A Martel,97,94,103.19148936170212
A McAuley,304,351,86.6096866096866
A McKnight,67,76,88.1578947368421
A Mehmood,14,4,350.0
A Mene-Ejegi,107,73,146.57534246575344
A Modi,48,77,62.33766233766234
A Mongar,4,8,50.0
A Morris,30,70,42.857142857142854
A Mucyodusenge,11,24,45.83333333333333
A Mundra,265,196,135.20408163265304
A Mustafa,30,27,111.11111111111111
A Mutreja,141,110,128.1818181818182
A Nagarajan,69,80,86.25
A Nanda,62,67,92.53731343283582
A Nao,67,56,119.64285714285714
A Nathwani,25,40,62.5
A Natubhai Ahir,257,283,90.81272084805654
A Ndlovu,10,13,76.92307692307693
A Nehra,28,42,66.66666666666666
A Nel,0,2,0.0
A Nimaga,11,13,84.61538461538461
A Nortje,17,35,48.57142857142857
A Orfila,2,10,20.0
A Osei,66,125,52.800000000000004
A Otwani,150,157,95.54140127388536
A Oxley,116,161,72.04968944099379
A Parima,250,232,107.75862068965519
A Patmore,274,313,87.53993610223642
A Paul,28,38,73.68421052631578
A Poulose,9,16,56.25
A Prashar,134,85,157.64705882352942
A Pusthay,120,157,76.43312101910828
A Rajshekara,106,118,89.83050847457628
A Randhawa,234,314,74.52229299363057
A Rangaswamy,13,16,81.25
A Raza,316,217,145.62211981566819
A Razmilic,8,13,61.53846153846154
A Reyes,171,210,81.42857142857143
A Sarma,37,47,78.72340425531915
A Sathyan,10,15,66.66666666666666
A Saud,70,64,109.375
A Shahi,110,68,161.76470588235296
A Shahzad,0,3,0.0
A Sharafu,1566,1195,131.0460251046025
A Sharma,267,247,108.09716599190284
