bowler,balls,runs_conceded,overs,economy
A Ahmadhel,12,21,2.0,10.5
A Alexander,62,67,10.333333333333334,6.483870967741935
A Amado,18,20,3.0,6.666666666666667
A Andrews,62,64,10.333333333333334,6.193548387096774
A Ashok,25,28,4.166666666666667,6.72
A Ashokan,363,441,60.5,7.289256198347108
A Athanaze,7,16,1.1666666666666667,13.714285714285714
A Augastin,77,83,12.833333333333334,6.467532467532467
A Beresford-Peirse,99,110,16.5,6.666666666666667
A Bhargava,13,15,2.1666666666666665,6.923076923076923
A Bhattarai,19,13,3.1666666666666665,4.105263157894737
A Bishnoi,235,318,39.166666666666664,8.119148936170212
A Bohara,1199,1484,199.83333333333334,7.4261884904086735
A Busing-Volschenk,43,55,7.166666666666667,7.674418604651162
A Chaubey,89,133,14.833333333333334,8.96629213483146
A Chaudhary,81,105,13.5,7.777777777777778
A Chenthamara,133,148,22.166666666666668,6.676691729323308
A Conteh,116,114,19.333333333333332,5.8965517241379315
A Dananjaya,695,937,115.83333333333333,8.089208633093525
A Daxini,11,24,1.8333333333333333,13.090909090909092
A Denuwan,40,51,6.666666666666667,7.6499999999999995
A Desai,73,85,12.166666666666666,6.986301369863014
A Dhabe,158,160,26.333333333333332,6.075949367088608
A Dhar,18,31,3.0,10.333333333333334
A Dhingra,255,343,42.5,8.070588235294117
A Dizija,67,129,11.166666666666666,11.55223880597015
A Djorovic,81,149,13.5,11.037037037037036
A Donovan,122,137,20.333333333333332,6.7377049180327875
A Dutt,521,597,86.83333333333333,6.8752399232245685
A Flintoff,155,164,25.833333333333332,6.348387096774194
A Gbla,189,206,31.5,6.5396825396825395
A Gulati,42,83,7.0,11.857142857142858
A Gupta,71,99,11.833333333333334,8.366197183098592
A Husain,148,145,24.666666666666668,5.878378378378378
A Johnson,30,36,5.0,7.2
A Kalasi,227,182,37.833333333333336,4.81057268722467
A Karn,24,31,4.0,7.75
A Kaul,35,31,5.833333333333333,5.314285714285715
A Khan,144,150,24.0,6.25
A Kheterpal,358,424,59.666666666666664,7.106145251396648
A Kirschbaum,438,452,73.0,6.191780821917808
A Krishna,263,384,43.833333333333336,8.760456273764259
A Kuthalingham,31,24,5.166666666666667,4.64516129032258
A Lazic,12,29,2.0,14.5
A Limdawala,314,379,52.333333333333336,7.242038216560509
A Magdalenic,22,43,3.6666666666666665,11.727272727272728
A Maheshwari,119,193,19.833333333333332,9.73109243697479
A Manousis,44,51,7.333333333333333,6.954545454545455
A Mansale,92,114,15.333333333333334,7.434782608695652
A Martel,343,398,57.166666666666664,6.962099125364432
A Martin,18,20,3.0,6.666666666666667
A Mehmood,62,104,10.333333333333334,10.064516129032258
A Mene-Ejegi,254,275,42.333333333333336,6.496062992125984
A Mishra,234,247,39.0,6.333333333333333
A Mongar,19,11,3.1666666666666665,3.473684210526316
A Morris,529,515,88.16666666666667,5.841209829867674
A Nagarajan,95,136,15.833333333333334,8.589473684210526
A Nanda,530,656,88.33333333333333,7.426415094339623
A Nao,385,373,64.16666666666667,5.812987012987013
A Nathwani,304,367,50.666666666666664,7.24342105263158
A Natubhai Ahir,348,305,58.0,5.258620689655173
A Ndlovu,127,177,21.166666666666668,8.362204724409448
A Nehra,585,760,97.5,7.794871794871795
A Neill,102,125,17.0,7.352941176470588
A Nel,48,43,8.0,5.375
A Nortje,880,1061,146.66666666666666,7.234090909090909
A Orfila,78,102,13.0,7.846153846153846
A Parima,66,85,11.0,7.7272727272727275
A Paul,228,318,38.0,8.368421052631579
A Prashar,215,207,35.833333333333336,5.776744186046511
A Pusthay,106,130,17.666666666666668,7.3584905660377355
A Rangaswamy,154,156,25.666666666666668,6.077922077922078
A Razmilic,45,62,7.5,8.266666666666667
A Reyes,278,354,46.333333333333336,7.640287769784172
A Sathyan,16,16,2.6666666666666665,6.0
A Sawyer,14,22,2.3333333333333335,9.428571428571429
A Shahi,295,352,49.166666666666664,7.159322033898305
A Shahzad,67,101,11.166666666666666,9.044776119402986
A Sharafu,1,3,0.16666666666666666,18.0
A Shukla,1039,1315,173.16666666666666,7.593840230991338
A Simelane,170,273,28.333333333333332,9.635294117647058
A Sokovagone,25,40,4.166666666666667,9.6
A Symonds,190,281,31.666666666666668,8.873684210526315
A Tripathi,13,26,2.1666666666666665,12.0
A Trivedi,6,15,1.0,15.0
A Turay,88,93,14.666666666666666,6.340909090909091
A Turkmen,350,388,58.333333333333336,6.651428571428571
A Vala,539,586,89.83333333333333,6.5231910946196665
A Venkatesh,199,217,33.166666666666664,6.542713567839196
A Wright,401,380,66.83333333333333,5.685785536159601
A Yon,109,121,18.166666666666668,6.660550458715596
A Zampa,2305,2846,384.1666666666667,7.40824295010846
AA Banner,12,17,2.0,8.5
AA Gajic,303,388,50.5,7.683168316831683
AA Hussein,40,55,6.666666666666667,8.25
AA Jimoh,76,73,12.666666666666666,5.7631578947368425
AA Navicha,124,147,20.666666666666668,7.112903225806451
AA Noffke,46,41,7.666666666666667,5.3478260869565215
AA Paradkar,55,72,9.166666666666666,7.854545454545455
AA Rahayu,284,270,47.333333333333336,5.704225352112676
AAH Bhikari,30,52,5.0,10.4
AAP Atkinson,67,123,11.166666666666666,11.014925373134329
AAP Rivero,304,254,50.666666666666664,5.0131578947368425
AAhan Achar,156,155,26.0,5.961538461538462
AB Agarkar,63,85,10.5,8.095238095238095
AB Dinda,186,249,31.0,8.03225806451613
AB Kamara,46,44,7.666666666666667,5.739130434782608
AB Mengoumou,33,70,5.5,12.727272727272727
AC Agar,1030,1131,171.66666666666666,6.588349514563107
AC Botha,99,90,16.5,5.454545454545454
AC Douglas,184,184,30.666666666666668,6.0
AC Evans,676,880,112.66666666666667,7.810650887573964
AC Voges,12,5,2.0,2.5
ACF Stokes,326,320,54.333333333333336,5.889570552147239
AD Mascarenhas,254,319,42.333333333333336,7.535433070866142
AD Mathews,1137,1355,189.5,7.150395778364116
AD Russell,1234,1895,205.66666666666666,9.213938411669368
ADL Stokoe,74,67,12.333333333333334,5.4324324324324325
AE Isesele,42,63,7.0,9.0
AE Paraam,188,276,31.333333333333332,8.808510638297873
AF Ifill,459,494,76.5,6.457516339869281
AF Milne,1185,1620,197.5,8.20253164556962
AG Cremer,529,609,88.16666666666667,6.9073724007561434
AG Weligamage,212,333,35.333333333333336,9.424528301886792
AJ Finch,12,27,2.0,13.5
AJ Hall,49,61,8.166666666666666,7.469387755102042
AJ Hosein,1813,2163,302.1666666666667,7.158301158301158
AJ McKay,35,32,5.833333333333333,5.485714285714286
AJ Michael,46,52,7.666666666666667,6.782608695652174
AJ Parmar,443,461,73.83333333333333,6.243792325056434
AJ Redmond,18,24,3.0,8.0
AJ Turner,83,83,13.833333333333334,6.0
AJ Tye,718,1010,119.66666666666667,8.440111420612814
AJA Samuels,108,139,18.0,7.722222222222222
AK Gokoel,167,172,27.833333333333332,6.179640718562874
AK Kitchen,37,46,6.166666666666667,7.459459459459459
AK Markram,380,523,63.333333333333336,8.257894736842104
AK Muslar,25,36,4.166666666666667,8.639999999999999
AK Perera,6,17,1.0,17.0
AL Kerai,6,10,1.0,10.0
AL Phehlukwayo,793,1134,132.16666666666666,8.580075662042876
AL Stephen,292,356,48.666666666666664,7.315068493150685
AM Ellis,62,106,10.333333333333334,10.258064516129032
AM Fernando,100,178,16.666666666666668,10.68
AM Guruge,97,126,16.166666666666668,7.793814432989691
AM Hardie,253,353,42.166666666666664,8.371541501976285
AM Kimote,1076,1286,179.33333333333334,7.171003717472119
AM McCarthy,12,12,2.0,6.0
AM Oyede,30,31,5.0,6.2
AM Patel,129,108,21.5,5.023255813953488
AM Phangiso,348,447,58.0,7.706896551724138
AM Rajpurohit,66,107,11.0,9.727272727272727
AM Tribe,36,31,6.0,5.166666666666667
AN Hyobeom,75,87,12.5,6.96
AN Lascu,131,196,21.833333333333332,8.977099236641221
AN Toube,118,145,19.666666666666668,7.372881355932203
AO Suji,39,54,6.5,8.307692307692308
AP Devcich,72,85,12.0,7.083333333333333
