match_id,date,venue,match_type,team_1,team_2
1001349,2017-02-17,Melbourne Cricket Ground,T20,Australia,Sri Lanka
1001351,2017-02-19,"Simonds Stadium, South Geelong",T20,Australia,Sri Lanka
1001353,2017-02-22,Adelaide Oval,T20,Australia,Sri Lanka
1004729,2016-09-05,"Bready Cricket Club, Magheramason",T20,Ireland,Hong Kong
1007655,2016-06-18,Harare Sports Club,T20,Zimbabwe,India
1007657,2016-06-20,Harare Sports Club,T20,Zimbabwe,India
1007659,2016-06-22,Harare Sports Club,T20,Zimbabwe,India
1019979,2017-01-03,McLean Park,T20,New Zealand,Bangladesh
1019981,2017-01-06,Bay Oval,T20,New Zealand,Bangladesh
1019983,2017-01-08,Bay Oval,T20,New Zealand,Bangladesh
1020029,2017-02-17,Eden Park,T20,New Zealand,South Africa
1031431,2017-06-21,The Rose Bowl,T20,England,South Africa
1031433,2017-06-23,County Ground,T20,England,South Africa
1031435,2017-06-25,Sophia Gardens,T20,England,South Africa
1031665,2017-09-16,Riverside Ground,T20,West Indies,England
1034825,2017-01-26,Green Park,T20,India,England
1034827,2017-01-29,"Vidarbha Cricket Association Stadium, Jamtha",T20,India,England
1034829,2017-02-01,M Chinnaswamy Stadium,T20,India,England
1041615,2016-08-27,Central Broward Regional Park Stadium Turf Ground,T20,India,West Indies
1041617,2016-08-28,Central Broward Regional Park Stadium Turf Ground,T20,India,West Indies
1050217,2016-09-23,Dubai International Cricket Stadium,T20,Pakistan,West Indies
1050219,2016-09-24,Dubai International Cricket Stadium,T20,Pakistan,West Indies
1050221,2016-09-27,Sheikh Zayed Stadium,T20,Pakistan,West Indies
1072316,2018-02-03,Sydney Cricket Ground,T20,New Zealand,Australia
1072317,2018-02-07,Bellerive Oval,T20,England,Australia
1072318,2018-02-10,Melbourne Cricket Ground,T20,England,Australia
1072319,2018-02-13,Westpac Stadium,T20,New Zealand,England
1072320,2018-02-16,Eden Park,T20,New Zealand,Australia
1072321,2018-02-18,Seddon Park,T20,England,New Zealand
1072322,2018-02-21,Eden Park,T20,New Zealand,Australia
1074957,2017-01-14,Sheikh Zayed Stadium,T20,Hong Kong,Scotland
1074959,2017-01-15,Sheikh Zayed Stadium,T20,Netherlands,Oman
